                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4774,                 4.7265,                 2.2383,                0.17735,                0.06702,                0.15785,                0.08949,                 3.1684,                 3.4826,                 2.1867,              0.0033173,              0.0033173,              0.0033173
                      2,                 2.9398,                  3.153,                 1.8303,                 0.2087,                0.13409,                0.04086,                0.01104,                 2.8876,                 3.0783,                 1.9533,              0.0066177,              0.0066177,              0.0066177
                      3,                 2.8126,                 2.9704,                 1.7181,                0.25348,                0.14796,                0.05348,                0.01429,                 2.8784,                 3.2403,                 1.8647,              0.0098851,              0.0098851,              0.0098851
                      4,                 2.8583,                 2.9912,                 1.7407,                0.19119,                0.08039,                0.03135,                0.00966,                 3.1739,                 4.1096,                 1.9267,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.8536,                  2.946,                 1.7062,                0.13001,                0.11406,                0.05846,                0.01628,                 2.9065,                 2.8771,                 1.9197,               0.009802,               0.009802,               0.009802
                      6,                 2.7757,                 2.8032,                 1.6908,                0.39841,                0.11238,                0.06196,                0.02004,                 2.8831,                 3.0228,                 1.7956,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.7237,                 2.6697,                 1.6533,                0.13425,                0.16457,                0.10677,                0.03457,                 2.6631,                 2.5356,                 1.7005,               0.009703,               0.009703,               0.009703
                      8,                 2.6713,                 2.6326,                 1.6336,                0.36361,                0.15804,                0.12718,                0.03724,                 2.6894,                 2.5146,                 1.7418,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.6285,                 2.5694,                 1.6025,                0.40404,                0.18219,                0.17025,                0.05652,                 2.6684,                 2.3359,                 1.6857,               0.009604,               0.009604,               0.009604
                     10,                 2.5635,                 2.4687,                  1.594,                0.37275,                0.22851,                0.17072,                0.05787,                 2.5175,                  2.269,                 1.6613,              0.0095545,              0.0095545,              0.0095545
                     11,                  2.526,                 2.3649,                 1.5502,                0.22832,                 0.2186,                0.17663,                0.05669,                 2.5783,                 2.2667,                 1.6801,               0.009505,               0.009505,               0.009505
                     12,                 2.5227,                  2.336,                 1.5716,                0.38507,                0.23372,                 0.2098,                0.07498,                 2.5208,                 2.1787,                 1.6718,              0.0094555,              0.0094555,              0.0094555
                     13,                 2.4808,                  2.294,                 1.5272,                0.24903,                0.24907,                0.20226,                0.07029,                 2.5259,                   2.18,                 1.6323,               0.009406,               0.009406,               0.009406
                     14,                 2.4358,                 2.2195,                 1.5202,                 0.4807,                0.21848,                0.20939,                0.07555,                  2.471,                 2.1749,                 1.6386,              0.0093565,              0.0093565,              0.0093565
                     15,                 2.4169,                  2.187,                 1.4951,                0.39183,                0.24484,                0.20082,                0.07093,                 2.4566,                 2.1813,                 1.6446,               0.009307,               0.009307,               0.009307
                     16,                 2.3558,                 2.1096,                 1.4681,                0.47825,                0.27031,                0.25462,                0.08911,                 2.4303,                 2.0256,                 1.5837,              0.0092575,              0.0092575,              0.0092575
                     17,                 2.3519,                 2.0755,                 1.4591,                0.46121,                0.28474,                0.32974,                0.13581,                 2.3871,                 2.0099,                 1.5796,               0.009208,               0.009208,               0.009208
                     18,                 2.3226,                 2.0176,                 1.4485,                0.42351,                0.26354,                0.37058,                0.11381,                 2.4128,                 2.0944,                 1.5827,              0.0091585,              0.0091585,              0.0091585
                     19,                 2.2747,                 1.9811,                 1.4377,                0.43928,                0.29998,                0.29353,                0.11181,                 2.3439,                 1.9589,                 1.5769,               0.009109,               0.009109,               0.009109
                     20,                 2.2494,                 1.9247,                 1.4256,                 0.4281,                0.31875,                0.25779,                0.09627,                 2.3258,                 1.9553,                 1.5796,              0.0090595,              0.0090595,              0.0090595
                     21,                 2.2269,                 1.8834,                  1.408,                0.43483,                0.28389,                0.41335,                0.12446,                  2.405,                 1.9484,                 1.5308,                0.00901,                0.00901,                0.00901
                     22,                 2.2146,                 1.8595,                 1.3885,                0.49159,                0.34018,                0.32123,                0.11736,                 2.3251,                 1.8603,                 1.5483,              0.0089605,              0.0089605,              0.0089605
                     23,                 2.1558,                 1.8188,                 1.3818,                0.54396,                0.30845,                0.29846,                0.11445,                 2.3016,                 1.8331,                 1.5438,               0.008911,               0.008911,               0.008911
                     24,                 2.1541,                 1.7727,                 1.3932,                0.61459,                0.29012,                0.45878,                0.16215,                 2.3165,                 1.7824,                  1.591,              0.0088615,              0.0088615,              0.0088615
                     25,                 2.1721,                 1.7628,                 1.3842,                0.55679,                0.35424,                 0.4741,                0.18843,                 2.2733,                 1.7887,                 1.5136,               0.008812,               0.008812,               0.008812
                     26,                  2.091,                 1.7296,                 1.3504,                0.54312,                0.37201,                0.49843,                0.19172,                 2.2604,                 1.7288,                 1.5411,              0.0087625,              0.0087625,              0.0087625
                     27,                 2.0887,                 1.6827,                 1.3648,                0.55821,                0.34688,                0.48673,                0.17024,                 2.2984,                 1.7087,                 1.5592,               0.008713,               0.008713,               0.008713
                     28,                 2.0602,                 1.6307,                  1.347,                0.59367,                0.31619,                  0.353,                0.14507,                 2.2515,                 1.7578,                 1.5316,              0.0086635,              0.0086635,              0.0086635
                     29,                 2.0395,                  1.622,                  1.324,                0.52898,                0.36302,                0.47641,                0.17993,                 2.2858,                 1.6976,                 1.5029,               0.008614,               0.008614,               0.008614
                     30,                 2.0397,                 1.6055,                 1.3222,                0.51625,                0.38253,                 0.5015,                0.23739,                 2.2121,                 1.6653,                 1.5088,              0.0085645,              0.0085645,              0.0085645
                     31,                 2.0142,                 1.5703,                 1.3171,                0.54412,                0.33063,                0.41449,                0.15991,                 2.2095,                 1.6685,                 1.5083,               0.008515,               0.008515,               0.008515
                     32,                 2.0106,                 1.5539,                 1.3159,                0.54047,                0.36236,                0.49717,                0.21343,                 2.3121,                 1.6858,                 1.5332,              0.0084655,              0.0084655,              0.0084655
                     33,                  1.983,                 1.5273,                 1.2955,                0.63083,                0.40972,                0.56281,                 0.2156,                 2.1404,                 1.5211,                 1.4768,               0.008416,               0.008416,               0.008416
                     34,                 1.9229,                 1.4944,                 1.2724,                0.62203,                0.39904,                0.55063,                   0.23,                 2.1189,                   1.53,                 1.4669,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.9061,                 1.4517,                 1.2642,                 0.5102,                0.56092,                0.54442,                0.22796,                 2.2031,                 1.5931,                  1.481,               0.008317,               0.008317,               0.008317
                     36,                 1.9182,                 1.4612,                 1.2689,                0.39885,                0.59196,                0.45321,                0.18549,                 2.1714,                 1.6203,                   1.51,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.8917,                 1.4211,                 1.2542,                0.63103,                0.38455,                0.54764,                0.26367,                 2.1936,                 1.5278,                 1.4867,               0.008218,               0.008218,               0.008218
                     38,                 1.8917,                 1.4184,                 1.2569,                0.52888,                0.52831,                0.56112,                0.27268,                 2.1301,                 1.4982,                 1.4724,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.8834,                 1.4052,                 1.2486,                0.49636,                0.52221,                0.54408,                0.24912,                 2.1987,                 1.5361,                 1.4804,               0.008119,               0.008119,               0.008119
                     40,                 1.8846,                 1.3845,                 1.2458,                0.53063,                0.53985,                0.56973,                0.27865,                 2.1272,                 1.4747,                 1.4101,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.8595,                 1.3798,                 1.2371,                 0.5456,                0.55748,                0.58043,                0.25423,                 2.0829,                 1.4661,                 1.4379,                0.00802,                0.00802,                0.00802
                     42,                 1.8451,                 1.3566,                 1.2353,                0.50493,                0.57229,                0.59866,                0.29758,                 2.0535,                 1.4009,                 1.4229,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.8155,                 1.3136,                 1.2247,                0.50869,                0.54534,                0.57987,                0.25855,                 2.1304,                 1.4366,                 1.4792,               0.007921,               0.007921,               0.007921
                     44,                 1.8052,                  1.299,                 1.2082,                0.62953,                0.58373,                0.60787,                0.27828,                 2.1106,                 1.4032,                 1.4425,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.7882,                 1.2878,                 1.2061,                 0.6438,                 0.4422,                 0.6062,                0.29847,                 2.0722,                 1.3667,                 1.4571,               0.007822,               0.007822,               0.007822
                     46,                 1.7913,                 1.2867,                 1.2113,                0.74281,                0.41706,                0.61659,                 0.3093,                 2.0402,                 1.3463,                 1.4377,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.7775,                 1.2709,                 1.2006,                0.64392,                0.45318,                0.54364,                0.24135,                 2.0879,                  1.351,                 1.4447,               0.007723,               0.007723,               0.007723
                     48,                 1.7737,                 1.2485,                 1.1943,                0.68225,                0.43762,                 0.6163,                 0.2502,                 2.0244,                  1.328,                 1.4167,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.7202,                 1.2146,                 1.1741,                0.62493,                0.57547,                0.63371,                0.33341,                 2.0302,                 1.2941,                 1.4158,               0.007624,               0.007624,               0.007624
                     50,                 1.7366,                 1.2252,                 1.1887,                0.79623,                 0.5643,                0.65687,                0.35028,                 1.9902,                  1.252,                 1.4094,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.7102,                 1.1837,                 1.1744,                0.50732,                 0.6884,                0.63068,                0.32696,                 2.0204,                 1.3119,                 1.4133,               0.007525,               0.007525,               0.007525
                     52,                 1.7253,                 1.1805,                 1.1693,                0.76902,                0.58779,                0.66715,                0.33384,                 1.9675,                 1.2811,                 1.3728,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.6821,                 1.1681,                 1.1701,                0.47508,                0.71025,                0.67219,                0.31321,                 1.9848,                 1.2048,                 1.3777,               0.007426,               0.007426,               0.007426
                     54,                  1.681,                 1.1465,                 1.1643,                0.67391,                0.60782,                0.67221,                0.31715,                 1.9921,                 1.2514,                 1.3831,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.6847,                 1.1388,                 1.1558,                0.72598,                0.58912,                  0.687,                0.35307,                 1.9188,                 1.1827,                 1.3484,               0.007327,               0.007327,               0.007327
                     56,                 1.6704,                 1.1348,                 1.1522,                0.65171,                0.61527,                0.67689,                0.35342,                 1.9812,                  1.213,                 1.3949,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.6546,                 1.1259,                 1.1474,                0.68627,                0.62361,                0.71496,                0.36608,                 1.8764,                 1.1762,                 1.3132,               0.007228,               0.007228,               0.007228
                     58,                 1.6437,                 1.1126,                 1.1506,                0.61466,                 0.6238,                0.68192,                0.35305,                 1.9251,                 1.2059,                 1.3504,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.6365,                 1.0887,                 1.1346,                0.74299,                 0.6134,                0.69203,                0.36656,                 1.9024,                 1.1754,                 1.3412,               0.007129,               0.007129,               0.007129
                     60,                 1.6229,                 1.1043,                 1.1352,                0.63725,                0.64558,                0.69675,                0.36567,                 1.8604,                 1.1534,                 1.3152,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.5987,                 1.0711,                 1.1225,                0.73876,                0.63437,                0.70268,                0.35602,                 1.8667,                 1.1445,                 1.3371,                0.00703,                0.00703,                0.00703
                     62,                 1.5899,                 1.0692,                  1.125,                0.73866,                0.61438,                0.70743,                0.35801,                 1.8861,                 1.1187,                 1.3353,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.6106,                 1.0835,                 1.1282,                0.69713,                0.61383,                0.70816,                0.37331,                 1.8768,                 1.1561,                 1.3208,               0.006931,               0.006931,               0.006931
                     64,                  1.588,                 1.0685,                 1.1154,                0.72108,                 0.6195,                0.72466,                0.38474,                 1.8722,                 1.1467,                 1.3103,              0.0068815,              0.0068815,              0.0068815
                     65,                  1.564,                 1.0405,                 1.1012,                0.72827,                0.63293,                 0.7036,                0.36305,                 1.9007,                 1.1442,                 1.3379,               0.006832,               0.006832,               0.006832
                     66,                  1.568,                 1.0261,                 1.1141,                0.82357,                0.64171,                 0.7363,                0.40647,                  1.878,                 1.0972,                 1.3097,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.5574,                 1.0217,                  1.103,                0.74263,                0.60635,                0.72472,                0.41097,                 1.8504,                 1.1134,                 1.3152,               0.006733,               0.006733,               0.006733
                     68,                 1.5465,                 1.0154,                 1.0971,                0.71447,                0.62396,                0.71737,                0.36994,                 1.8168,                 1.1545,                 1.3022,              0.0066835,              0.0066835,              0.0066835
                     69,                  1.547,                0.99016,                  1.102,                0.73126,                0.65388,                0.73447,                0.37391,                 1.8417,                 1.0995,                 1.2912,               0.006634,               0.006634,               0.006634
                     70,                 1.5462,                 1.0063,                 1.1015,                0.70552,                0.64276,                0.73236,                0.42287,                  1.814,                 1.0718,                 1.2825,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.5348,                 1.0066,                 1.0956,                0.70073,                0.63188,                0.72298,                0.39354,                 1.8093,                 1.1226,                 1.2862,               0.006535,               0.006535,               0.006535
                     72,                 1.5138,                0.98402,                 1.0802,                0.74598,                0.66106,                 0.7547,                0.39315,                 1.8366,                 1.0615,                  1.309,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.5103,                0.96578,                 1.0829,                0.71442,                0.67488,                0.74094,                0.40314,                 1.7914,                 1.0608,                 1.2797,               0.006436,               0.006436,               0.006436
                     74,                 1.5205,                0.97242,                 1.0916,                0.72527,                0.68148,                0.76166,                0.45456,                 1.7912,                 1.0562,                 1.2689,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.4948,                0.96516,                 1.0794,                0.67833,                0.69279,                0.75011,                0.44914,                 1.7566,                 1.0764,                 1.2711,               0.006337,               0.006337,               0.006337
                     76,                 1.4997,                0.95901,                 1.0771,                0.71104,                0.68596,                0.75155,                0.44937,                 1.7853,                  1.063,                 1.2731,              0.0062875,              0.0062875,              0.0062875
                     77,                  1.456,                0.92114,                 1.0637,                0.69738,                0.69898,                0.75965,                0.42741,                 1.7561,                 1.0617,                  1.252,               0.006238,               0.006238,               0.006238
                     78,                 1.4818,                0.94113,                 1.0701,                0.70217,                0.68265,                0.75639,                0.42705,                 1.7629,                 1.0468,                  1.247,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.4624,                0.91634,                  1.063,                0.70051,                0.67116,                0.75151,                0.41807,                 1.8065,                 1.0682,                 1.2743,               0.006139,               0.006139,               0.006139
                     80,                 1.4624,                0.91981,                 1.0636,                0.68245,                0.66579,                 0.7384,                0.39309,                 1.8013,                  1.082,                 1.2745,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.4589,                0.91006,                 1.0608,                0.72776,                 0.6685,                0.75124,                0.38961,                 1.7276,                 1.0668,                 1.2463,                0.00604,                0.00604,                0.00604
                     82,                 1.4512,                0.89839,                 1.0611,                0.79766,                0.64863,                 0.7553,                  0.409,                 1.7299,                 1.0346,                 1.2592,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.4165,                0.88607,                 1.0467,                  0.731,                0.69115,                0.76517,                0.41947,                 1.7564,                 1.0213,                 1.2677,               0.005941,               0.005941,               0.005941
                     84,                 1.4427,                0.90322,                  1.058,                0.77723,                0.69151,                0.76886,                0.40398,                 1.7031,                0.98654,                 1.2401,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.4352,                0.90687,                 1.0499,                0.71871,                0.72286,                0.77494,                0.44369,                 1.6631,                 1.0049,                 1.2223,               0.005842,               0.005842,               0.005842
                     86,                 1.4315,                 0.8972,                 1.0458,                 0.8347,                0.67546,                0.77861,                0.44299,                 1.6999,                 1.0104,                 1.2269,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.4092,                  0.878,                 1.0414,                0.75141,                0.70457,                0.77143,                0.43362,                 1.7098,                 1.0105,                 1.2284,               0.005743,               0.005743,               0.005743
                     88,                 1.4121,                 0.8792,                 1.0395,                0.76146,                0.71964,                0.79778,                0.45651,                 1.6739,                0.97439,                 1.2041,              0.0056935,              0.0056935,              0.0056935
                     89,                  1.397,                0.86731,                  1.038,                 0.7502,                0.73141,                0.79068,                0.44385,                  1.662,                0.94766,                 1.2029,               0.005644,               0.005644,               0.005644
                     90,                 1.3983,                0.86916,                 1.0341,                0.72089,                0.74232,                0.79403,                0.41908,                 1.6927,                0.96865,                 1.2142,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.3872,                0.87233,                 1.0309,                0.77086,                0.72608,                 0.7976,                0.42785,                 1.6822,                0.96247,                 1.2131,               0.005545,               0.005545,               0.005545
                     92,                 1.3852,                0.84907,                 1.0333,                0.73526,                0.73255,                0.80246,                0.42528,                 1.6732,                0.95189,                 1.2135,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.3861,                0.84702,                 1.0365,                0.80106,                0.67892,                0.79091,                 0.4374,                 1.6646,                0.94148,                 1.2055,               0.005446,               0.005446,               0.005446
                     94,                 1.3622,                0.83624,                 1.0203,                0.77976,                0.71578,                0.78988,                0.44245,                 1.6774,                0.95195,                 1.1997,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.3681,                0.84615,                 1.0183,                0.85641,                0.68435,                0.80403,                0.44022,                 1.6462,                0.92106,                 1.1951,               0.005347,               0.005347,               0.005347
                     96,                 1.3537,                0.82983,                 1.0174,                0.72692,                0.74185,                0.80117,                0.44206,                 1.6407,                0.93053,                 1.1927,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.3481,                0.82437,                 1.0152,                0.80123,                0.71729,                 0.7966,                0.44599,                 1.6284,                0.90541,                 1.2075,               0.005248,               0.005248,               0.005248
                     98,                 1.3202,                 0.8036,                 1.0081,                0.82655,                0.67184,                0.80079,                0.46987,                 1.6497,                0.92856,                 1.2049,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.3369,                0.81407,                 1.0089,                0.87664,                0.68865,                0.81453,                0.45673,                 1.5993,                0.89379,                 1.1823,               0.005149,               0.005149,               0.005149
